movie,slug,episode_date,episode_type,mention_count,mean_sentiment,positive_hits,negative_hits,industry_context
28 Years Later,28-years-later-death-zombies-and-one-of-the-years-best-movies,2025-06-21,standard,7,0.34285714285714286,2,1,0.14285714285714285
28 Years Later,a-mailbag-for-all-time-plus-alex-ross-perry-returns,2025-05-12,mailbag,1,0.2,0,0,0
28 Years Later,best-picture-power-rankings-bugonia-and-the-new-paranoid-thriller-with-yorgos-lanthimos,2025-10-31,oscar,1,1.4,1,0,0
28 Years Later,f1-is-a-fast-fierce-blockbuster-throwback-with-joseph-kosinski-plus-the-future-of-james-bond,2025-06-27,standard,1,0.6,0,0,0
28 Years Later,four-ways-of-looking-at-an-action-movie-the-accountant-2-havoc-a-working-man-and-the-amateur,2025-04-28,standard,1,-0.2,0,0,1
28 Years Later,happy-gilmore-2-the-naked-gun-and-the-21st-century-comedy-movie-crisis,2025-08-01,standard,2,1,1,0,0.5
28 Years Later,highest-2-lowest-is-a-ny-movie-state-of-mind-with-spike-lee,2025-09-05,interview,3,0.4666666666666667,0,0,0
28 Years Later,hollywood-is-broken-lets-start-a-movie-studio,2024-06-04,interview,1,1.4,1,0,0
28 Years Later,jurassic-world-rebirth-does-not-find-a-way-plus-nolans-the-odyssey-is-coming,2025-07-02,standard,3,0.26666666666666666,0,1,0.3333333333333333
28 Years Later,one-battle-after-another-a-second-opinion-with-van-lathan,2025-10-05,interview,2,0.30000000000000004,0,0,1
28 Years Later,our-800th-episode-ask-us-anything-mailbag-plus-elio-and-how-to-train-your-dragon,2025-06-23,mailbag,5,0.64,0,0,0.4
28 Years Later,predator-badlands-and-the-predator-movie-rankings,2025-11-10,ranking,1,-0.4,0,0,0
28 Years Later,the-10-best-horror-movies-of-2025-and-black-phone-2,2025-10-21,standard,3,0.8666666666666668,3,1,0.6666666666666666
28 Years Later,the-2024-movie-star-ranking-35-under-35,2024-04-30,ranking,1,2,1,0,1
28 Years Later,the-2025-movie-auction,2025-01-20,draft,2,0.8999999999999999,1,0,0.5
28 Years Later,the-2025-movie-auction-returns,2025-07-08,draft,1,1.8,1,0,1
28 Years Later,the-25-best-movies-of-the-century-no-18-before-sunset,2025-06-18,standard,1,0.4,0,0,0
28 Years Later,the-25-most-anticipated-movies-of-2025,2025-01-14,oscar,2,1.4,1,0,0.5
28 Years Later,the-advice-hour,2025-06-16,mailbag,2,0.5,0,0,0
28 Years Later,the-daniel-day-lewis-hall-of-fame,2025-10-10,ranking,1,0.4,0,0,0
28 Years Later,the-fantastic-four-first-steps-is-here-plus-our-fall-film-festival-preview,2025-07-25,standard,1,0.8,0,0,0
28 Years Later,the-summer-movie-mailbag,2025-08-05,mailbag,1,0,0,0,0
28 Years Later,the-summer-movie-preview-game-plus-david-cronenberg-on-the-shrouds,2025-04-25,oscar,3,-0.4666666666666667,0,1,0
28 Years Later,the-top-five-movies-of-2025,2025-12-05,ranking,2,1.8,2,0,0
28 Years Later,weapons-is-why-we-go-to-the-movies-with-zach-cregger,2025-08-08,interview,2,1.4,1,1,0.5
A Complete Unknown,2025-oscar-nominations-snubs-surprises-and-wtfs,2025-01-23,oscar,6,0.6666666666666666,2,0,0.16666666666666666
A Complete Unknown,28-years-later-death-zombies-and-one-of-the-years-best-movies,2025-06-21,standard,1,0.6000000000000001,1,0,0
A Complete Unknown,a-complete-unknown-is-a-bob-dylan-movie-how-does-it-feel,2024-12-24,standard,9,0.33333333333333337,4,2,0.2222222222222222
A Complete Unknown,a-mailbag-for-all-time-plus-alex-ross-perry-returns,2025-05-12,mailbag,1,1.6,0,0,0
A Complete Unknown,a-minecraft-movie-is-the-most-important-movie-of-the-year-so-far-and-these-flicks-are-the-best,2025-04-07,retrospective,1,0,0,0,1
A Complete Unknown,anora-is-pure-cinema-and-the-best-picture-race-is-completely-up-in-the-air,2024-10-21,standard,1,0.19999999999999996,1,1,1
A Complete Unknown,argylle-and-the-death-of-the-winking-action-movie,2024-02-07,standard,1,0,0,0,0
A Complete Unknown,best-picture-power-rankings-and-brutal-honesty-about-the-brutalist,2025-01-31,oscar,14,0.28571428571428575,3,1,0.2857142857142857
A Complete Unknown,best-picture-power-rankings-and-the-winners-and-losers-of-movies-in-2024-plus-superman-is-here,2024-12-20,oscar,9,0.33333333333333337,1,0,0.2222222222222222
A Complete Unknown,best-picture-power-rankings-bugonia-and-the-new-paranoid-thriller-with-yorgos-lanthimos,2025-10-31,oscar,1,0.8,0,0,1
A Complete Unknown,best-picture-power-rankings-plus-is-emilia-perez-really-a-front-runner,2024-11-15,oscar,5,0.7200000000000001,1,1,0.4
A Complete Unknown,final-2025-oscar-predictions-who-will-win-and-should-win,2025-02-27,oscar,12,-0.033333333333333354,1,2,0.25
A Complete Unknown,gladiator-ii-is-here-are-we-not-entertained,2024-11-22,standard,1,0.4,0,0,0
A Complete Unknown,hot-frosty-and-moana-2-what-even-are-movies,2024-11-27,standard,1,0,0,0,0
A Complete Unknown,is-red-one-the-worst-movie-of-the-year-plus-a-real-pain-with-jesse-eisenberg,2024-11-19,standard,1,0,0,0,0
A Complete Unknown,its-saturday-night-plus-the-top-five-backstage-movies-and-piece-by-piece,2024-10-11,ranking,1,-0.4,0,1,0
A Complete Unknown,our-golden-globe-predictions-plus-introducing-25-for-25,2025-01-03,standard,7,0.45714285714285713,4,0,0
A Complete Unknown,our-thirst-for-trap,2024-08-05,standard,1,0.4,0,0,1
A Complete Unknown,springsteen-deliver-me-from-nowhere-and-the-music-biopic-mount-rushmore,2025-10-24,standard,4,1.05,3,1,0.25
A Complete Unknown,the-10-best-movies-at-sundance-and-the-astonishing-nickel-boys,2025-02-04,oscar,1,-0.6,0,0,1
A Complete Unknown,the-15-most-anticipated-movies-at-cinemacon-and-our-trip-to-las-vegas,2025-04-05,standard,1,2.2,1,0,1
A Complete Unknown,the-1996-movie-draft,2024-10-08,draft,2,-0.3,0,0,0.5
A Complete Unknown,the-2021-movie-draft,2024-12-13,draft,2,0.1,0,0,0
A Complete Unknown,the-2024-golden-globes-the-oppenheimer-behemoth,2024-01-08,standard,1,2,1,0,0
A Complete Unknown,the-2024-movie-star-ranking-35-under-35,2024-04-30,ranking,2,0.8,1,0,0.5
A Complete Unknown,the-2025-alternative-oscars-aka-the-5th-annual-big-picks,2025-02-25,oscar,4,0.5,1,0,0.25
A Complete Unknown,the-2025-dumpuary-extravaganza-plus-steven-soderbergh-returns,2025-01-27,standard,6,4.9,5,1,0.16666666666666666
A Complete Unknown,the-2025-golden-globes-the-brutalist-and-emilia-perez-usher-in-a-new-era,2025-01-06,standard,4,2.0500000000000003,3,0,0
A Complete Unknown,the-2025-movie-auction,2025-01-20,draft,1,0.4,0,0,0
A Complete Unknown,the-2025-oscars-anora-has-the-greatest-day,2025-03-03,oscar,2,0.9,2,1,0.5
A Complete Unknown,the-25-best-movies-of-the-century-no-15-inside-llewyn-davis,2025-07-16,standard,8,0.6,3,1,0.125
A Complete Unknown,the-25-most-anticipated-movies-of-2025,2025-01-14,oscar,8,0.825,3,0,0.375
A Complete Unknown,the-best-movies-at-telluride-and-the-10-most-anticipated-fall-films,2024-09-04,standard,3,0.13333333333333336,1,0,0.3333333333333333
A Complete Unknown,the-best-movies-at-telluride-and-venice-and-the-10-most-anticipated-fall-films,2025-09-03,standard,1,0.4,0,0,1
A Complete Unknown,the-best-picture-movie-draft,2025-02-21,oscar,1,0,0,0,1
A Complete Unknown,the-bikeriders-and-the-dudes-rock-movie-canon-plus-kinds-of-kindness,2024-06-21,standard,2,-0.30000000000000004,0,0,0
A Complete Unknown,the-cate-blanchett-hall-of-fame-and-the-delightfully-sleek-black-bag,2025-03-14,ranking,1,0,0,0,0
A Complete Unknown,the-king-of-physical-media-plus-the-10-best-blu-rays-of-2024,2024-12-11,standard,1,-0.4,0,0,0
A Complete Unknown,the-loss-of-david-lynch-plus-our-oscar-nomination-predictions,2025-01-17,oscar,10,0.32,3,0,0.3
A Complete Unknown,the-matt-damon-hall-of-fame-plus-the-anxious-wonder-of-didi,2024-08-13,ranking,1,1,1,0,0
A Complete Unknown,the-mega-mailbag-is-here-and-the-new-best-picture-front-runner-is,2025-02-10,mailbag,1,0,0,0,1
A Complete Unknown,the-oscars-hangover-mailbag-plus-bong-joon-ho-returns,2025-03-06,oscar,1,0.4,0,0,0
A Complete Unknown,the-paul-newman-hall-of-fame,2025-05-09,mailbag,1,1.4,1,0,0
A Complete Unknown,the-return-of-the-big-oscar-bet-and-the-best-movies-at-the-toronto-international-film-festival,2024-09-16,oscar,6,0.3333333333333333,2,1,0.3333333333333333
A Complete Unknown,the-richard-linklater-hall-of-fame,2024-05-31,ranking,1,1.2000000000000002,1,0,0
A Complete Unknown,the-snubs-surprises-and-wtfs-of-the-2025-golden-globe-nominations-plus-richard-gere,2024-12-09,oscar,7,0.5714285714285715,2,0,0
A Complete Unknown,the-top-10-underseen-movies-of-2024-plus-james-cameron-and-gale-anne-hurd-on-the-terminator-at-40,2024-12-18,oscar,1,0.5999999999999999,1,1,0
A Complete Unknown,the-top-five-movies-of-2024,2024-12-06,ranking,6,-0.26666666666666666,1,2,0
A Complete Unknown,the-top-five-performances-of-2024-plus-the-amy-adams-hall-of-fame-and-nightbitch,2024-12-16,ranking,2,-0.5,0,1,0
A Complete Unknown,top-five-world-war-ii-movies-and-blitz,2024-12-03,ranking,4,0.55,2,0,0
A Complete Unknown,wicked-is-a-sensation-but-is-it-good-plus-the-top-five-21st-century-musicals,2024-11-25,ranking,1,-0.4,0,0,0
A Complete Unknown,wolfs-is-a-clooney-and-pitt-reunion-is-it-anything-else-plus-five-movies-you-need-to-see-this-month,2024-09-27,standard,2,-5.551115123125783e-17,0,1,0
A Complete Unknown,wonka-and-the-timothee-chalamet-movie-star-playbook-plus-jonathan-glazer-on-the-zone-of-interest,2023-12-15,standard,1,-0.4,0,0,0
A Cure for Wellness,saltburn-iconic-or-disastrous-plus-alexander-payne,2023-11-27,standard,3,1.0666666666666669,2,0,0
A Cure for Wellness,sicko-movie-mode-five-fked-up-features-to-close-out-the-summer,2024-08-27,standard,1,0.6,0,0,0
A Star Is Born,10-way-too-early-oscar-predictions-and-the-best-movies-at-telluride-and-venice,2023-09-06,oscar,1,2.4000000000000004,1,0,0
A Star Is Born,2024-oscar-nominations-snubs-surprises-and-wtfs,2024-01-23,oscar,1,1.2,0,0,1
A Star Is Born,best-picture-power-rankings-and-wes-andersons-oscar-chances,2023-10-10,oscar,1,0.2,0,0,1
A Star Is Born,best-picture-power-rankings-bugonia-and-the-new-paranoid-thriller-with-yorgos-lanthimos,2025-10-31,oscar,1,0.6,0,0,1
A Star Is Born,did-five-nights-at-freddys-just-save-movies-plus-the-emily-blunt-movie-star-playbook,2023-10-31,standard,1,1.8,1,0,0
