slug,title,episode_date,episode_type,transcript_url,transcript_available,raw_segments,usable_segments,page_title,fetch_status,cache_path
the-2026-movie-star-rankings-35-under-35,The 2026 Movie Star Rankings: 35 Under 35,2026-04-07,ranking,https://podscripts.co/podcasts/the-big-picture/the-2026-movie-star-rankings-35-under-35,TRUE,413,412,The Big Picture - The 2026 Movie Star Rankings: 35 Under 35,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-2026-movie-star-rankings-35-under-35.html
the-top-10-movie-plot-twists-and-the-drama-plus-the-super-mario-galaxy-movie-certainly-exists,The Top 10 Movie Plot Twists and The Drama. Plus: The Super Mario Galaxy Movie Certainly Exists.,2026-04-03,ranking,https://podscripts.co/podcasts/the-big-picture/the-top-10-movie-plot-twists-and-the-drama-plus-the-super-mario-galaxy-movie-certainly-exists,TRUE,234,232,The Big Picture - The Top 10 Movie Plot Twists and The Drama. Plus: The Super Mario Galaxy Movie Certainly Exists.,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-top-10-movie-plot-twists-and-the-drama-plus-the-super-mario-galaxy-movie-certainly-exists.html
the-best-movies-of-the-year-so-far-plus-15-we-missed,The Best Movies of the Year So Far. Plus: 15 We Missed!,2026-03-30,ranking,https://podscripts.co/podcasts/the-big-picture/the-best-movies-of-the-year-so-far-plus-15-we-missed,TRUE,432,431,The Big Picture - The Best Movies of the Year So Far. Plus: 15 We Missed!,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-best-movies-of-the-year-so-far-plus-15-we-missed.html
the-1988-movie-draft,The 1988 Movie Draft,2026-03-26,draft,https://podscripts.co/podcasts/the-big-picture/the-1988-movie-draft,TRUE,518,516,The Big Picture - The 1988 Movie Draft,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-1988-movie-draft.html
the-steven-spielberg-conversation,The Steven Spielberg Conversation,2026-03-23,interview,https://podscripts.co/podcasts/the-big-picture/the-steven-spielberg-conversation,TRUE,122,120,The Big Picture - The Steven Spielberg Conversation,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-steven-spielberg-conversation.html
project-hail-mary-will-amaze-amaze-amaze-with-phil-lord-and-chris-miller,Project Hail Mary Will Amaze! Amaze! Amaze! With Phil Lord and Chris Miller,2026-03-20,oscar,https://podscripts.co/podcasts/the-big-picture/project-hail-mary-will-amaze-amaze-amaze-with-phil-lord-and-chris-miller,TRUE,258,256,The Big Picture - Project Hail Mary Will Amaze! Amaze! Amaze! With Phil Lord and Chris Miller,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_project-hail-mary-will-amaze-amaze-amaze-with-phil-lord-and-chris-miller.html
the-oscar-hangover-mailbag-plus-dune-part-three-is-coming,The Oscar Hangover Mailbag. Plus: Dune: Part Three Is Coming!,2026-03-17,oscar,https://podscripts.co/podcasts/the-big-picture/the-oscar-hangover-mailbag-plus-dune-part-three-is-coming,TRUE,337,336,The Big Picture - The Oscar Hangover Mailbag. Plus: Dune: Part Three Is Coming!,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-oscar-hangover-mailbag-plus-dune-part-three-is-coming.html
the-2026-academy-awards-one-battle-after-another-earns-more-than-a-few-small-oscars,The 2026 Academy Awards: One Battle After Another Earns More Than a Few Small Oscars,2026-03-16,oscar,https://podscripts.co/podcasts/the-big-picture/the-2026-academy-awards-one-battle-after-another-earns-more-than-a-few-small-oscars,TRUE,250,248,The Big Picture - The 2026 Academy Awards: One Battle After Another Earns More Than a Few Small Oscars,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-2026-academy-awards-one-battle-after-another-earns-more-than-a-few-small-oscars.html
our-final-2026-oscar-predictions-who-will-win-and-who-should-win,"Our Final 2026 Oscar Predictions: Who Will Win, and Who Should Win",2026-03-12,oscar,https://podscripts.co/podcasts/the-big-picture/our-final-2026-oscar-predictions-who-will-win-and-who-should-win,TRUE,313,309,"The Big Picture - Our Final 2026 Oscar Predictions: Who Will Win, and Who Should Win",ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_our-final-2026-oscar-predictions-who-will-win-and-who-should-win.html
the-anything-but-oscars-mailbag-plus-hoppers,"The ""Anything But Oscars"" Mailbag! Plus: Hoppers",2026-03-09,oscar,https://podscripts.co/podcasts/the-big-picture/the-anything-but-oscars-mailbag-plus-hoppers,TRUE,358,356,"The Big Picture - The ""Anything But Oscars"" Mailbag! Plus: Hoppers",ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-anything-but-oscars-mailbag-plus-hoppers.html
