page,row_on_page,title,episode_date,summary,transcript_url,slug,episode_type,year
1,1,The 2026 Movie Star Rankings: 35 Under 35,2026-04-07,"Sean and Amanda reconvene the movie star committee to rank the 35 most important movie stars under the age of 35. Before diving in, they declare that...",https://podscripts.co/podcasts/the-big-picture/the-2026-movie-star-rankings-35-under-35,the-2026-movie-star-rankings-35-under-35,ranking,2026
1,2,The Top 10 Movie Plot Twists and The Drama. Plus: The Super Mario Galaxy Movie Certainly Exists.,2026-04-03,"Sean and Amanda open the show by tackling some movie news headlines, including the green-lighting of a Weapons prequel at Warner Bros., speculation...",https://podscripts.co/podcasts/the-big-picture/the-top-10-movie-plot-twists-and-the-drama-plus-the-super-mario-galaxy-movie-certainly-exists,the-top-10-movie-plot-twists-and-the-drama-plus-the-super-mario-galaxy-movie-certainly-exists,ranking,2026
1,3,The Best Movies of the Year So Far. Plus: 15 We Missed!,2026-03-30,"Sean and Amanda open the show with a few movie news topics including Ryan Gosling being cast in the highly anticipated next film for the Daniels, and...",https://podscripts.co/podcasts/the-big-picture/the-best-movies-of-the-year-so-far-plus-15-we-missed,the-best-movies-of-the-year-so-far-plus-15-we-missed,ranking,2026
1,4,The 1988 Movie Draft,2026-03-26,Were drafting again! Sean and Amanda are joined by Chris Ryan and Bill Simmons to draft their favorite movies from the year 1988. Hosts: Sean Fennes...,https://podscripts.co/podcasts/the-big-picture/the-1988-movie-draft,the-1988-movie-draft,draft,2026
1,5,The Steven Spielberg Conversation,2026-03-23,Sean is joined by legendary filmmaker Steven Spielberg for an extensive conversation about his illustrious career; what excited him about making his u...,https://podscripts.co/podcasts/the-big-picture/the-steven-spielberg-conversation,the-steven-spielberg-conversation,interview,2026
1,6,Project Hail Mary Will Amaze! Amaze! Amaze! With Phil Lord and Chris Miller,2026-03-20,"Sean and Amanda open the show by reacting to a ton of movie news, including the Oscar ratings being down 9 percent from last year, the new trailer for...",https://podscripts.co/podcasts/the-big-picture/project-hail-mary-will-amaze-amaze-amaze-with-phil-lord-and-chris-miller,project-hail-mary-will-amaze-amaze-amaze-with-phil-lord-and-chris-miller,oscar,2026
1,7,The Oscar Hangover Mailbag. Plus: Dune: Part Three Is Coming!,2026-03-17,"Sean and Amanda kick off the show by reacting to a laundry list of movie news, including the new trailer for Denis Villeneuve's Dune: Part Three, st...",https://podscripts.co/podcasts/the-big-picture/the-oscar-hangover-mailbag-plus-dune-part-three-is-coming,the-oscar-hangover-mailbag-plus-dune-part-three-is-coming,oscar,2026
1,8,The 2026 Academy Awards: One Battle After Another Earns More Than a Few Small Oscars,2026-03-16,Sean and Amanda instantly react to the 98th Academy Awards and share their main takeaways from Hollywoods biggest night. They make the case for why t...,https://podscripts.co/podcasts/the-big-picture/the-2026-academy-awards-one-battle-after-another-earns-more-than-a-few-small-oscars,the-2026-academy-awards-one-battle-after-another-earns-more-than-a-few-small-oscars,oscar,2026
1,9,"Our Final 2026 Oscar Predictions: Who Will Win, and Who Should Win",2026-03-12,"Were getting close to the finish line! On todays show, Sean and Amanda give their official picks for the 98th Academy Awards. Before diving in, they...",https://podscripts.co/podcasts/the-big-picture/our-final-2026-oscar-predictions-who-will-win-and-who-should-win,our-final-2026-oscar-predictions-who-will-win-and-who-should-win,oscar,2026
1,10,"The ""Anything But Oscars"" Mailbag! Plus: Hoppers",2026-03-09,"Sean and Amanda open up the mailbag and answer your ""Anything But Oscars questions! Before diving in, they cover a handful of movie news headlines, i...",https://podscripts.co/podcasts/the-big-picture/the-anything-but-oscars-mailbag-plus-hoppers,the-anything-but-oscars-mailbag-plus-hoppers,oscar,2026
