term,estimate,std_error,p_value,model_family,shrunk_mean,tau2,pooled_mean
const,0.4067514478706692,0.023585311291381836,1.1999280296944788e-66,logit_win,,,
league_NBA,-0.001009795558961718,0.016108929705540148,0.950016981285269,logit_win,,,
league_NFL,-0.008890964583575328,0.02889001945830204,0.7582709610765457,logit_win,,,
league_NHL,-0.0041213649430662525,0.016145609217928174,0.7985205350182273,logit_win,,,
season_2012,-0.0023413654261699723,0.030586178287040793,0.9389817060200306,logit_win,,,
season_2013,0.0020434544393655614,0.02978231343673854,0.9452976555827147,logit_win,,,
season_2014,0.004272979045067692,0.02977786927779566,0.8858991618685812,logit_win,,,
season_2015,0.004053845053105194,0.029720542272519218,0.8915060554740513,logit_win,,,
season_2016,0.003101080551593376,0.029777119593343403,0.9170558143753439,logit_win,,,
season_2017,0.004967771943878964,0.029674249752096926,0.8670473037592693,logit_win,,,
season_2018,0.00022001065617494563,0.029703261501090625,0.994090160750683,logit_win,,,
season_2019,-0.00032012518152119834,0.030503761723903757,0.9916266638302781,logit_win,,,
season_2020,0.0020235612638178635,0.03413376508458783,0.95272648506446,logit_win,,,
season_2021,0.0012856305532488038,0.02962965811654751,0.9653906574446273,logit_win,,,
is_underdog,-0.8234622233063003,0.013704362522052057,0.0,logit_win,,,
opening_window_2w,0.04730421955857734,0.05474886927937997,0.3875758852150336,logit_win,,,
opening_window_3w,-0.06361928061377585,0.04514449585637701,0.1587651875175643,logit_win,,,
opening_2w_x_dog,-0.09457372913427065,0.07802481002585569,0.22547480570680045,logit_win,,,
opening_3w_x_dog,0.12463058125517013,0.06433044491688172,0.05270258594358396,logit_win,,,
const,-0.02314885422570024,0.012665788458443444,0.06760237179623886,ols_profit,,,
league_NBA,-0.026121204157667097,0.008650564957452901,0.002531760709333412,ols_profit,,,
league_NFL,-0.034617432789296444,0.015516416072986669,0.025682002446587197,ols_profit,,,
league_NHL,-0.026847952922203523,0.008670069198805225,0.001957910163082088,ols_profit,,,
season_2012,-0.004389747984542553,0.01642536459976828,0.7892739798656003,ols_profit,,,
season_2013,0.0017695013790185368,0.015993233558536445,0.9119015502808704,ols_profit,,,
season_2014,0.002286009980176116,0.01599065085990314,0.8863227228365901,ols_profit,,,
season_2015,0.007630490745462442,0.015960092511735992,0.6325813835742908,ols_profit,,,
season_2016,0.014457007373723199,0.015990531013278644,0.36594559039132823,ols_profit,,,
season_2017,0.006663189724431041,0.0159350767369358,0.6758412132969103,ols_profit,,,
season_2018,0.0183856252030363,0.01595075570744932,0.24905714883933033,ols_profit,,,
season_2019,0.02511112173314205,0.016380039094390928,0.12527114404115972,ols_profit,,,
season_2020,0.01616258707594435,0.018332620581488233,0.37797906395745995,ols_profit,,,
season_2021,0.01915353774081103,0.015911279664737633,0.22868091066702728,ols_profit,,,
is_underdog,0.008779652357280229,0.0073564901231646185,0.23269337256602235,ols_profit,,,
opening_window_2w,0.014390374900332183,0.02953421935215668,0.6260863975890582,ols_profit,,,
opening_window_3w,-0.019130698297205147,0.024382952771363833,0.4326939773034426,ols_profit,,,
opening_2w_x_dog,-0.03654017780801938,0.04206538312981695,0.38503958891710466,ols_profit,,,
opening_3w_x_dog,0.05109421786628262,0.034726149269471665,0.14120040206904055,ols_profit,,,
MLB,3.852426656523761,2.350979811085225,,partial_pooling_profit_3w,3.156672791726207,29.193363855762577,-0.5181971065566359
NBA,-0.43070487590923956,4.080851313274492,,partial_pooling_profit_3w,-0.4624855309257118,29.193363855762577,-0.5181971065566359
NFL,1.804882635249487,6.260091609563083,,partial_pooling_profit_3w,0.4735609915678134,29.193363855762577,-0.5181971065566359
NHL,-8.242343808587277,3.0051584175580226,,partial_pooling_profit_3w,-6.417417849757668,29.193363855762577,-0.5181971065566359
bias_0.000_speed_0.15,0.09343325429989015,,,market_learning_sim,,,
bias_0.000_speed_0.30,0.6052282928714223,,,market_learning_sim,,,
bias_0.000_speed_0.60,0.539540465295055,,,market_learning_sim,,,
bias_0.015_speed_0.15,0.8583484065509759,,,market_learning_sim,,,
bias_0.015_speed_0.30,-0.16881088861009982,,,market_learning_sim,,,
bias_0.015_speed_0.60,0.3377232097822243,,,market_learning_sim,,,
bias_0.030_speed_0.15,-0.10067454562204496,,,market_learning_sim,,,
bias_0.030_speed_0.30,0.3289674372843196,,,market_learning_sim,,,
bias_0.030_speed_0.60,0.5323331348644679,,,market_learning_sim,,,
