league,strategy,bets,win_rate,avg_odds,profit,roi,avg_profit,volatility,max_drawdown,avg_implied_prob,calibration_gap,roi_ci_low,roi_ci_high
POOLED,underdog_2w,3845,0.40052015604681407,141.89830949284786,-4744.838263070345,-0.012340281568453433,-1.2340281568453435,133.03347662135252,-17242.020511396666,0.39620260185831285,0.0043175541885012055,-0.05402219149080087,0.03244312660265566
MLB,underdog_2w,1459,0.4674434544208362,62.97464016449623,4792.589249875242,0.032848452706478695,3.2848452706478697,112.97018667799088,-2711.777696995404,0.44568563917823356,0.021757815242602674,-0.018547883114943847,0.07437170139053027
NBA,underdog_2w,1099,0.3321201091901729,251.57870791628753,1420.134453781512,0.012922060543962803,1.2922060543962803,167.97739356334776,-7577.246498599439,0.3228506702108904,0.009269438979282524,-0.08519388044759822,0.1225573858701552
NFL,underdog_2w,345,0.3536231884057971,202.8608695652174,-1450.7421027817068,-0.042050495732803096,-4.205049573280309,135.3864384387063,-2247.752003771806,0.34268674829923035,0.010936440106566775,-0.15564603507425012,0.08354750558183897
NHL,underdog_2w,942,0.39384288747346075,113.85031847133757,-9506.819863945393,-0.10092165460663899,-10.0921654606639,113.03299497769311,-10963.158381137691,0.4247386856254429,-0.030895798151982158,-0.17903766138798277,-0.021414272698554022
POOLED,underdog_3w,5901,0.4045077105575326,142.25538044399255,-2479.2817145497993,-0.0042014602856292145,-0.42014602856292144,132.33839757331273,-19880.033547913812,0.3970426385651239,0.007465071992408704,-0.04005607494689187,0.03373201308309644
MLB,underdog_3w,2328,0.468213058419244,61.25515463917526,8968.449256387315,0.03852426656523761,3.852426656523761,113.43325321932359,-3289.621187746356,0.44681609914898335,0.021396959270260585,-0.009783462345225074,0.08021918554140414
NBA,underdog_3w,1637,0.32620647525962126,260.38973732437387,-705.0638818634261,-0.004307048759092402,-0.4307048759092401,165.11065913806394,-10246.770308123248,0.31968345098111006,0.006523024278511176,-0.09223536971981176,0.10230789387714508
NFL,underdog_3w,519,0.3699421965317919,213.21579961464354,936.7340876944838,0.01804882635249487,1.804882635249487,142.6147245984903,-2254.7619047619046,0.3430286728781221,0.026913523653669762,-0.08116658857740038,0.13208987325420776
NHL,underdog_3w,1417,0.40296400846859565,112.8652081863091,-11679.401176768171,-0.08242343808587277,-8.242343808587277,113.12335997227123,-12726.305938672931,0.424422752910473,-0.021458744441877408,-0.14670779838317663,-0.018124660370757946
POOLED,underdog_first5,3353,0.388905457798986,159.6447957053385,-3192.650405599182,-0.00952177275752813,-0.952177275752813,136.10501883148555,-14453.41310793043,0.3839984653553266,0.004906992443659348,-0.05061901652338622,0.03544623943180413
MLB,underdog_first5,825,0.46424242424242423,62.13575757575757,2572.626390749085,0.031183350190898,3.1183350190898,113.76430621568001,-2231.718005163721,0.44719491541531964,0.01704750882710462,-0.03122670944890922,0.0893697822746933
NBA,underdog_first5,832,0.33533653846153844,248.01442307692307,1191.4201680672268,0.014319953943115707,1.4319953943115706,165.1473743893836,-5677.484593837535,0.324482584397739,0.010853954063799421,-0.08634269533926942,0.12600031206545417
NFL,underdog_first5,864,0.3645833333333333,212.81828703703704,1347.2102781706744,0.015592711552901324,1.5592711552901324,144.30150507556536,-3795.7619047619046,0.3411797086510532,0.02340362468228009,-0.05796889592396512,0.09127645180861767
NHL,underdog_first5,832,0.39302884615384615,112.7451923076923,-8303.90724258617,-0.09980657743492993,-9.980657743492994,113.49205413442168,-9353.007664540375,0.4253152291169983,-0.032286382963152185,-0.17839229978614177,-0.0283240564028505
POOLED,underdog_first10pct,5440,0.40900735294117646,133.0637867647059,-3640.551516282442,-0.006692190287283901,-0.6692190287283901,129.85776247971415,-19551.465050521692,0.4020548176494911,0.006952535291685364,-0.04413732138091726,0.029770275621466332
MLB,underdog_first10pct,2318,0.46678170836928384,60.601380500431404,6969.844459198445,0.03006835400862142,3.006835400862142,112.6464461701161,-3728.160231137217,0.4473416455536279,0.01944006281565591,-0.015979563496082573,0.07651690537724316
NBA,underdog_first10pct,1411,0.32955350815024803,253.72218284904324,54.698022898477575,0.0003876543082812018,0.03876543082812018,164.4989576122528,-8990.20673900628,0.32160952650561875,0.007943981644629332,-0.09241460680669918,0.10433190333247225
NFL,underdog_first10pct,345,0.3536231884057971,202.8608695652174,-1450.7421027817068,-0.042050495732803096,-4.205049573280309,135.3864384387063,-2247.752003771806,0.34268674829923035,0.010936440106566775,-0.15564603507425012,0.08354750558183897
